"ProjectNumber","Year","Budget","GrantType","Topic","Country","City"
203194,2007,897472,"Starting Grants","SH3 - The Social World and its Diversity","NL","Amsterdam"
947763,2020,1499961,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","UK","Cardiff"
312717,2012,957563,"Starting Grants","SH6 - The Study of the Human Past","DE","KOLN"
101040378,2021,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","IL","JERUSALEM"
240994,2009,1443687,"Starting Grants","SH4 - The Human Mind and its Complexity","IL","JERUSALEM"
948015,2020,1499875,"Starting Grants","SH6 - The Study of the Human Past","IL","JERUSALEM"
269143,2010,999960,"Advanced Grants","SH1 - Individuals, Markets & Organisations ","IL","TEL AVIV"
853368,2019,1495478,"Starting Grants","PE3 - Condensed Matter Physics","UK","LONDON"
101001623,2020,1999805,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","UK","OXFORD"
834862,2018,2490087,"Advanced Grants","PE6 - Computer Science & Informatics","SE","STOCKHOLM"
310235,2012,1487965,"Starting Grants","LS9 - Biotechnology & Biosystems Engineering","UK","Durham"
841109,2018,150000,"Proof Of Concept","Proof of Concept","NL","DELFT"
678004,2015,1497842,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","NL","DELFT"
101044616,2021,1999815,"Consolidator Grants","SH4 - The Human Mind and its Complexity","DE","Hamburg"
834716,2018,462408,"Advanced Grants","SH2 - Institutions, Governance & Legal Systems","NL","ENSCHEDE"
101069343,2022,150000,"Proof Of Concept","Proof of Concept","NL","DELFT"
852880,2019,1438510,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","NL","DELFT"
683184,2015,1884875,"Consolidator Grants","PE9 - Universe Sciences","BE","GHENT"
290456,2011,1679584,"Advanced Grants","PE2 - Fundamental Constituents of Matter","UK","LONDON"
819242,2018,1999882,"Consolidator Grants","LS4 - Physiology in Health, Disease & Ageing","ES","Derio"
754627,2016,150000,"Proof Of Concept","Proof of Concept","ES","Derio"
336343,2013,1498686,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","ES","Derio"
208814,2007,1449236,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","NL","GRONINGEN"
874581,2019,150000,"Proof Of Concept","Proof of Concept","UK","LONDON"
780360,2017,149996,"Proof Of Concept","Proof of Concept","UK","LONDON"
282051,2011,1998331,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","UK","LONDON"
692640,2015,2490000,"Advanced Grants","PE5 - Synthetic Chemistry & Materials","DE","Munster"
101075541,2022,1498787,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE","KONSTANZ"
335691,2013,1446316,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","AT","Vienna"
340950,2013,1696470,"Advanced Grants","SH1 - Individuals, Markets & Organisations ","DE","Bonn"
209214,2007,1340000,"Starting Grants","SH1 - Individuals, Markets & Organisations ","DE","Bonn"
825794,2018,150000,"Proof Of Concept","Proof of Concept","CH","Ruschlikon"
307079,2012,1496526,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","CH","Ruschlikon"
948217,2020,1499826,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","ES","Barcelona"
851647,2019,1498070,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","ES","BARCELONA"
963998,2020,150000,"Proof Of Concept","Proof of Concept","UK","CAMBRIDGE"
682574,2015,2199146,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences","UK","CAMBRIDGE"
724705,2016,2000000,"Consolidator Grants","LS9 - Biotechnology & Biosystems Engineering","FR","Sorbonne"
260794,2010,1423000,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","DE","MUNCHEN"
669442,2014,2140502,"Advanced Grants","PE3 - Condensed Matter Physics","NO","TRONDHEIM"
278593,2011,1500000,"Starting Grants","PE5 - Synthetic Chemistry & Materials","DE","BERLIN"
337258,2013,1377162,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","DE","Oldenburg"
616920,2013,1993526,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","AT","VIENNA"
864528,2019,1994956,"Consolidator Grants","LS9 - Biotechnology & Biosystems Engineering","DE","Aachen"
101081970,2022,150000,"Proof Of Concept","Proof of Concept","NL","Amsterdam"
694145,2015,1850820,"Advanced Grants","SH2 - Institutions, Governance & Legal Systems","IT","MILAN"
201194,2007,750000,"Starting Grants","SH1 - Individuals, Markets & Organisations ","IT","MILAN"
101045811,2021,1351528,"Consolidator Grants","PE1 - Mathematics","DE","Munster"
101054950,2021,2209886,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE","MUNCHEN"
864815,2019,1997662,"Consolidator Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","NL","Amsterdam"
277757,2011,996374,"Starting Grants","PE5 - Synthetic Chemistry & Materials","UK","Bath"
210867,2007,1300000,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","FR","PARIS"
101045223,2021,1998760,"Consolidator Grants","PE11 - Materials Engineering","FI","TAMPERE"
101113355,2022,150000,"Proof Of Concept","Proof of Concept","FI","TAMPERE"
101069182,2022,150000,"Proof Of Concept","Proof of Concept","FI","TAMPERE"
789788,2017,148369,"Proof Of Concept","Proof of Concept","FI","TAMPERE"
679646,2015,1486400,"Starting Grants","PE8 - Products & Processes Engineering","FI","TAMPERE"
639750,2014,1497257,"Starting Grants","PE3 - Condensed Matter Physics","UK","LONDON"
865590,2019,2748476,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences","UK","MANCHESTER"
947749,2020,1254300,"Starting Grants","SH6 - The Study of the Human Past","CY","Nicosia"
865898,2019,1997605,"Consolidator Grants","SH6 - The Study of the Human Past","NL","AMSTERDAM"
757561,2017,1496730,"Starting Grants","PE9 - Universe Sciences","FR","PARIS"
638154,2014,1475150,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","BE","LEUVEN"
250320,2009,1815480,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","FR","Paris"
648889,2014,2304375,"Consolidator Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","UK","CAMBRIDGE"
260961,2010,1500000,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","UK","CAMBRIDGE"
323148,2012,2404800,"Advanced Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE","MUNCHEN"
101116110,2023,1398750,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","FR",NA
802305,2018,1487500,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE","MUNCHEN"
259705,2010,1020840,"Starting Grants","PE1 - Mathematics","FR","PARIS"
101089151,2022,1999950,"Consolidator Grants","SH6 - The Study of the Human Past","PL",NA
759926,2017,1484854,"Starting Grants","SH6 - The Study of the Human Past","PL","WARSAW"
670301,2014,2499761,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","FR","PARIS"
278208,2011,1368600,"Starting Grants","PE2 - Fundamental Constituents of Matter","DE","KAISERSLAUTERN"
681353,2015,2000000,"Consolidator Grants","PE10 - Earth System Science","NL","UTRECHT"
204995,2007,1202744,"Starting Grants","PE8 - Products & Processes Engineering","UK","CAMBRIDGE"
677627,2015,938184,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","UK","COVENTRY"
101089287,2022,1982800,"Consolidator Grants","PE6 - Computer Science & Informatics","TR",NA
865622,2019,1996276,"Consolidator Grants","PE7 - Systems & Communication Engineering","SE","Gothenburg"
101117455,2023,1500000,"Starting Grants","PE9 - Universe Sciences","IT",NA
101158206,2023,150000,"Proof Of Concept","Proof of Concept","IL",NA
724803,2016,2000000,"Consolidator Grants","LS4 - Physiology in Health, Disease & Ageing","IL","JERUSALEM"
101001124,2020,1826250,"Consolidator Grants","PE1 - Mathematics","IL","TEL AVIV"
676970,2015,1286150,"Starting Grants","PE1 - Mathematics","IL","TEL AVIV"
773062,2017,1951744,"Consolidator Grants","PE9 - Universe Sciences","IL","RAMAT GAN"
863438,2019,1684375,"Consolidator Grants","PE1 - Mathematics","IL","TEL AVIV"
633509,2014,1221921,"Starting Grants","PE1 - Mathematics","IL","TEL AVIV"
681715,2015,2749901,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","IL","REHOVOT"
101040267,2021,1800000,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IL","Ramat Gan"
884316,2019,2500000,"Advanced Grants","LS9 - Biotechnology & Biosystems Engineering","IL","REHOVOT"
640926,2014,150000,"Proof Of Concept","Proof of Concept","IL","REHOVOT"
204575,2007,1009000,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","IL","REHOVOT"
101097763,2022,2317848,"Advanced Grants","SH5 - Cultures & Cultural Production","SE",NA
647586,2014,1954633,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","UK","OXFORD"
817581,2018,1859312,"Consolidator Grants","PE6 - Computer Science & Informatics","UK","BRISTOL"
101087042,2022,2272881,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","FR",NA
831783,2018,2500000,"Advanced Grants","PE5 - Synthetic Chemistry & Materials","IL","HAIFA"
865157,2019,1874996,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","ES","Derio"
758952,2017,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","IL","HAIFA"
101042702,2021,1495965,"Starting Grants","PE6 - Computer Science & Informatics","ES","PAMPLONA"
101002689,2020,2799375,"Consolidator Grants","LS3 - Cellular, Developmental & Regenerative Biology","DE","Berlin"
240962,2009,1159000,"Starting Grants","SH4 - The Human Mind and its Complexity","NL","NIJMEGEN"
101116532,2023,1500000,"Starting Grants","PE5 - Synthetic Chemistry & Materials","IL","RAMAT GAN"
203413,2007,1250000,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","IL","JERUSALEM"
848339,2019,1500000,"Starting Grants","PE5 - Synthetic Chemistry & Materials","IL","REHOVOT"
802756,2018,1362500,"Starting Grants","PE1 - Mathematics","IL","RAMAT GAN"
852633,2019,1500000,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","IL","HAIFA"
101053543,2021,2500000,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","IL","REHOVOT"
280991,2011,1999648,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","IL","REHOVOT"
679551,2015,1500000,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","IL","TEL AVIV"
101115723,2023,2437500,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IL",NA
101001995,2020,1999926,"Consolidator Grants","PE6 - Computer Science & Informatics","FR","LE CHESNAY CEDEX"
101041729,2021,1684046,"Starting Grants","LS9 - Biotechnology & Biosystems Engineering","FR","PARIS"
636746,2014,1500000,"Starting Grants","SH3 - The Social World and its Diversity","DE","Kassel"
101096293,2022,2191875,"Advanced Grants","PE9 - Universe Sciences","ES",NA
101101061,2022,150000,"Proof Of Concept","Proof of Concept","IL",NA
101088955,2022,2000000,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","IL",NA
839297,2018,150000,"Proof Of Concept","Proof of Concept","IL","HAIFA"
671000,2014,2482250,"Advanced Grants","PE3 - Condensed Matter Physics","CH","ZURICH"
228023,2008,2300000,"Advanced Grants","PE3 - Condensed Matter Physics","CH","ZURICH"
759006,2017,1977148,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","CH","ZURICH"
789825,2017,149901,"Proof Of Concept","Proof of Concept","UK","London"
283771,2011,1692800,"Starting Grants","SH5 - Cultures & Cultural Production","UK","London"
790272,2017,150000,"Proof Of Concept","Proof of Concept","EL","Agia Paraskevi"
291260,2011,1221611,"Advanced Grants","PE7 - Systems & Communication Engineering","EL","Agia Paraskevi"
268049,2010,1750000,"Advanced Grants","PE8 - Products & Processes Engineering","EL","Thermi"
340719,2013,2498903,"Advanced Grants","PE8 - Products & Processes Engineering","UK","LONDON"
726165,2016,1999832,"Consolidator Grants","PE10 - Earth System Science","EL","HERAKLION"
755412,2016,149730,"Proof Of Concept","Proof of Concept","EL","Athens"
240710,2009,1131840,"Starting Grants","PE8 - Products & Processes Engineering","EL","Athens"
819454,2018,1986004,"Consolidator Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","DE","HEIDELBERG"
294650,2011,2499351,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","CH","Geneva"
788681,2017,2231378,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","CH","Geneva"
949219,2020,1491260,"Starting Grants","PE5 - Synthetic Chemistry & Materials","CH","ZURICH"
240446,2009,1442756,"Starting Grants","PE8 - Products & Processes Engineering","UK","CAMBRIDGE"
101097475,2022,3108441,"Advanced Grants","PE11 - Materials Engineering","DE",NA
260393,2010,1495213,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","FI","HELSINKI"
950159,2020,1900000,"Starting Grants","SH4 - The Human Mind and its Complexity","HU","Budapest"
804988,2018,1997513,"Starting Grants","PE3 - Condensed Matter Physics","SE","Gothenburg"
206283,2007,1200000,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","HU","Budapest"
949995,2020,1102262,"Starting Grants","SH1 - Individuals, Markets & Organisations ","UK","LONDON"
101040529,2021,1496500,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","FR","PARIS"
741945,2016,2492036,"Advanced Grants","PE7 - Systems & Communication Engineering","CH","LAUSANNE"
716678,2016,1497447,"Starting Grants","PE8 - Products & Processes Engineering","BE","LOUVAIN-LA-NEUVE"
101039953,2021,1992500,"Starting Grants","PE3 - Condensed Matter Physics","FR","PARIS"
949278,2020,1499995,"Starting Grants","PE9 - Universe Sciences","FR","Toulouse"
226837,2008,2500000,"Advanced Grants","PE10 - Earth System Science","FR","PARIS"
101115401,2023,1500000,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","DE",NA
851006,2019,1499779,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","FR","PARIS"
802699,2018,1494494,"Starting Grants","PE9 - Universe Sciences","FR","PARIS"
638408,2014,1500000,"Starting Grants","SH1 - Individuals, Markets & Organisations ","NL","Rotterdam"
101076351,2022,1498529,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","FR",NA
311536,2012,1374882,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","CH","Geneva"
722951,2016,2000000,"Consolidator Grants","PE5 - Synthetic Chemistry & Materials","ES","Leioa"
724286,2016,2000000,"Consolidator Grants","LS3 - Cellular, Developmental & Regenerative Biology","DE","HEIDELBERG"
260602,2010,1499279,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","DE","HEIDELBERG"
338187,2013,1028780,"Starting Grants","SH1 - Individuals, Markets & Organisations ","UK","LONDON"
835312,2018,2499970,"Advanced Grants","LS3 - Cellular, Developmental & Regenerative Biology","UK","EXETER"
671093,2014,2470519,"Advanced Grants","PE4 - Physical & Analytical Chemical Sciences","ES","MADRID"
101113408,2022,150000,"Proof Of Concept","Proof of Concept","IL","HAIFA"
101089009,2022,2000000,"Consolidator Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IL",NA
724805,2016,2000000,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","IL","TEL AVIV"
281301,2011,1497996,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","IL","TEL AVIV"
101001069,2020,2000000,"Consolidator Grants","PE7 - Systems & Communication Engineering","IL","RAMAT GAN"
679228,2015,1496944,"Starting Grants","PE7 - Systems & Communication Engineering","IL","RAMAT GAN"
295644,2011,2251330,"Advanced Grants","SH4 - The Human Mind and its Complexity","IL","BEER SHEVA"
725161,2016,2461111,"Consolidator Grants","PE9 - Universe Sciences","IL","REHOVOT"
307260,2012,1499302,"Starting Grants","PE9 - Universe Sciences","IL","REHOVOT"
101041250,2021,1500000,"Starting Grants","PE6 - Computer Science & Informatics","IL","HAIFA"
101097966,2022,2950000,"Advanced Grants","PE11 - Materials Engineering","IL",NA
825117,2018,150000,"Proof Of Concept","Proof of Concept","IL","HAIFA"
727606,2016,150000,"Proof Of Concept","Proof of Concept","IL","HAIFA"
617516,2013,2150000,"Consolidator Grants","PE8 - Products & Processes Engineering","IL","HAIFA"
268646,2010,1958408,"Advanced Grants","LS9 - Biotechnology & Biosystems Engineering","IL","REHOVOT"
680242,2015,1499250,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IL","HAIFA"
281661,2011,1499881,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","UK","LONDON"
227952,2008,2220000,"Advanced Grants","PE9 - Universe Sciences","SE","STOCKHOLM"
101055060,2021,2303531,"Advanced Grants","SH4 - The Human Mind and its Complexity","BE","Brussels"
